bg_count,node_ctxt_per_sec,victim_switch_rate,iteration,without_ms,with_ms,overhead_pct,dropped_events
0,33635,27470,1,4368.39,4528.28,3.66,0
0,31770,27501,2,4363.52,4808.22,10.191,0
0,32087,27570,3,4352.61,4447.17,2.172,0
0,32155,27454,4,4371.0,4433.4,1.428,0
0,32109,27482,5,4366.49,4708.06,7.823,0
0,32800,27555,6,4354.95,4451.59,2.219,0
0,32020,27586,7,4350.02,4523.59,3.99,0
0,32132,27659,8,4338.61,4445.64,2.467,0
0,31980,27667,9,4337.29,4606.54,6.208,0
0,31978,27676,10,4335.94,4418.34,1.9,0
0,32092,27693,11,4333.3,4390.09,1.311,0
0,31658,27582,12,4350.6,4452.79,2.349,0
0,32326,27654,13,4339.39,4435.52,2.215,0
0,32459,25549,14,4696.78,4490.17,-4.399,0
0,32440,27599,15,4347.93,4430.86,1.907,0
0,31020,26035,16,4609.23,4743.0,2.902,0
0,32288,27482,17,4366.49,4434.71,1.562,0
0,32297,27542,18,4357.02,4463.85,2.452,0
0,32064,25984,19,4618.29,4424.14,-4.204,0
0,32092,27592,20,4349.12,4431.42,1.892,0
1,119280,27608,1,4346.6,4466.71,2.763,0
1,119489,27605,2,4347.03,4426.53,1.829,0
1,117782,27280,3,4398.84,4432.07,0.755,0
1,118743,27574,4,4351.87,4428.49,1.761,0
1,119191,27532,5,4358.64,4428.58,1.605,0
1,119409,27693,6,4333.16,4425.5,2.131,0
1,119403,27526,7,4359.55,4441.33,1.876,0
1,119052,27560,8,4354.07,4463.12,2.505,0
1,119537,27472,9,4368.1,4409.71,0.953,0
1,118997,27239,10,4405.49,4515.67,2.501,0
1,119161,27187,11,4413.89,4413.93,0.001,0
1,119327,27797,12,4317.09,4477.48,3.715,0
1,119516,27517,13,4361.01,4442.77,1.875,0
1,120397,27684,14,4334.63,4478.6,3.321,0
1,119524,27610,15,4346.3,4423.94,1.786,0
1,119032,27591,16,4349.29,4773.66,9.757,0
1,118244,25959,17,4622.67,4461.94,-3.477,0
1,119083,27475,18,4367.64,4437.21,1.593,0
1,118893,26643,19,4503.95,5258.1,16.744,0
1,118948,26395,20,4546.32,4498.33,-1.056,0
3,254220,27576,1,4351.54,4565.74,4.922,0
3,256072,27393,2,4380.64,4451.2,1.611,0
3,250296,26518,3,4525.18,4418.52,-2.357,0
3,252234,25817,4,4648.13,4542.75,-2.267,0
3,251938,27491,5,4365.04,4440.94,1.739,0
3,254584,27489,6,4365.34,4904.2,12.344,0
3,250743,26988,7,4446.46,4441.4,-0.114,0
3,251810,27451,8,4371.46,4813.96,10.122,0
3,250192,26454,9,4536.19,4481.3,-1.21,0
3,252645,27174,10,4415.95,4448.28,0.732,0
3,251286,27263,11,4401.58,4440.59,0.886,0
3,250972,27637,12,4341.98,4428.91,2.002,0
3,251878,27295,13,4396.37,4536.88,3.196,0
3,254089,27575,14,4351.71,4728.69,8.663,0
3,250920,26398,15,4545.79,4465.66,-1.763,0
3,252511,27593,16,4348.86,4412.42,1.462,0
3,251428,27645,17,4340.76,4462.16,2.797,0
3,253273,27061,18,4434.38,4443.62,0.208,0
3,250982,26870,19,4465.98,4759.22,6.566,0
3,250592,27444,20,4372.49,4470.69,2.246,0
6,420104,27109,1,4426.64,4458.16,0.712,0
6,422889,27470,2,4368.48,4466.82,2.251,0
6,421659,27274,3,4399.73,4840.32,10.014,0
6,422559,27554,4,4355.16,4498.88,3.3,0
6,421384,27524,5,4359.89,4545.48,4.257,0
6,420187,26779,6,4481.2,4559.66,1.751,0
6,420593,27481,7,4366.61,4464.34,2.238,0
6,420671,25880,8,4636.8,4461.58,-3.779,0
6,422614,27615,9,4345.43,4458.55,2.603,0
6,418951,25558,10,4695.13,4865.04,3.619,0
6,418982,27444,11,4372.59,4625.05,5.774,0
6,421789,27519,12,4360.62,4499.46,3.184,0
6,420173,26674,13,4498.68,4505.4,0.149,0
6,421774,27600,14,4347.82,4506.06,3.64,0
6,420853,27530,15,4358.9,4741.96,8.788,0
6,422080,27119,16,4424.91,4501.39,1.728,0
6,421412,27537,17,4357.81,4522.31,3.775,0
6,422511,27429,18,4374.98,4770.88,9.049,0
6,420618,27411,19,4377.86,4707.94,7.54,0
6,422984,27560,20,4354.08,4575.58,5.087,0
10,616751,27353,1,4387.08,4460.71,1.678,0
10,639933,27464,2,4369.37,4473.6,2.385,0
10,639000,27518,3,4360.83,4477.24,2.669,0
10,615095,27559,4,4354.24,4470.67,2.674,0
10,635613,27542,5,4356.96,4479.41,2.81,0
10,628344,27537,6,4357.84,4758.66,9.198,0
10,616772,27466,7,4369.04,4583.37,4.906,0
10,612572,27475,8,4367.59,4443.7,1.743,0
10,632782,25947,9,4624.73,4476.45,-3.206,0
10,620602,27194,10,4412.74,8288.12,87.823,0
10,633102,26991,11,4445.92,4483.94,0.855,0
10,613437,27493,12,4364.76,4478.24,2.6,0
10,618888,27352,13,4387.28,8218.54,87.327,0
10,616384,27063,14,4434.16,8307.3,87.348,0
10,616278,27441,15,4373.01,5806.33,32.777,0
10,632515,27373,16,4383.88,4510.62,2.891,0
10,634615,27462,17,4369.62,4983.31,14.044,0
10,626545,27338,18,4389.45,4467.34,1.774,0
10,609774,27445,19,4372.44,4489.38,2.674,0
10,616231,27446,20,4372.18,4460.61,2.023,0
